,name,price,product_url,image,rating,number_of_sales,tiki_now,freeship,under_price,discount,installment,gift,advertising,oficial or credit,tikinow_member_deal
2833,"Nồi cơm cơ điện Tefal RK364A68 - 2.0L, 700W - Lòng nồi 4 lớp, dày 2mm - Giữ nhiệt 12 tiếng - Hàng chính hãng",999000,https://tiki.vn/noi-com-co-dien-tefal-rk364a68-2-0l-700w-long-noi-4-lop-day-2mm-giu-nhiet-12-tieng-hang-chinh-hang-p74883382.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.80656018&itm_medium=CPC&itm_source=tiki-reco&spid=80656018,https://salt.tikicdn.com/cache/200x200/ts/product/c8/ee/38/3ff7e9cbfd84748840d05a304e5bb338.png,4.2,162,True,False,False,27,False,True,False,,False
2834,Máy Hút Bụi Cầm Tay Đa Năng Deerma CM1300,996000,https://tiki.vn/may-hut-bui-cam-tay-da-nang-deerma-cm1300-p50461038.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.53628604&itm_medium=CPC&itm_source=tiki-reco&spid=53628604,https://salt.tikicdn.com/cache/200x200/ts/product/4d/8d/05/346078ae3669eedf47d2fa0247f9050c.jpg,4.8,,True,False,False,0,False,False,False,,False
2835,Nồi Cơm Điện Philips HD4533/66 - Hàng Chính Hãng,1680800,https://tiki.vn/noi-com-dien-philips-hd4533-66-hang-chinh-hang-p58065291.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.58065292&itm_medium=CPC&itm_source=tiki-reco&spid=58065292,https://salt.tikicdn.com/cache/200x200/ts/product/83/64/a8/b65455b4961054a6e55c31f2a175dbd8.png,4.699999999999999,,True,False,False,28,False,False,False,,False
2836,Nồi cơm điện Fuzzy Xpress RK522168 - Công suất 750W - Dễ dàng sử dụng với 1 nút nhấn - 12 chương trình nấu chuyên dụng - Hàng chính hãng,1844000,https://tiki.vn/noi-com-dien-fuzzy-xpress-rk522168-cong-suat-750w-de-dang-su-dung-voi-1-nut-nhan-12-chuong-trinh-nau-chuyen-dung-hang-chinh-hang-p105046597.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.105046598&itm_medium=CPC&itm_source=tiki-reco&spid=105046598,https://salt.tikicdn.com/cache/200x200/ts/product/de/ee/99/bbe6c5136642485cf9943eab0b2cc482.png,4.8,85,True,False,True,39,False,True,False,,False
2837,Nồi chiên nướng không dầu Magic Eco AC120 7L  - Hàng chính hãng,1399000,https://tiki.vn/noi-chien-nuong-khong-dau-magic-eco-ac120-7l-hang-chinh-hang-p72549351.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.72549352&itm_medium=CPC&itm_source=tiki-reco&spid=72549352,https://salt.tikicdn.com/cache/200x200/ts/product/91/7a/27/6cec6359506dd0ee94260eb924b3c6c1.jpg,4.6000000000000005,70,True,False,True,50,False,False,False,,False
2838,"Bàn là hơi nước cầm tay LEBENLANG LBD528S nhập khẩu Đức, công suất 1500W - 300ml",999000,https://tiki.vn/ban-la-hoi-nuoc-cam-tay-lebenlang-lbd528s-nhap-khau-duc-cong-suat-1500w-300ml-p92477764.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.92477766&itm_medium=CPC&itm_source=tiki-reco&spid=92477766,https://salt.tikicdn.com/cache/200x200/ts/product/b8/27/aa/4f5f68916a918f1215c7ca4b834aad0e.jpg,4.699999999999999,,True,False,False,0,False,False,False,,False
2839,Máy vắt cam LEBENLANG model LBC388 600W-400ml Bảo hành 2 năm,1400000,https://tiki.vn/may-vat-cam-lebenlang-model-lbc388-600w-400ml-bao-hanh-2-nam-p92477737.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.92477738&itm_medium=CPC&itm_source=tiki-reco&spid=92477738,https://salt.tikicdn.com/cache/200x200/ts/product/6a/e3/84/781a66e7f904ba77919369767fc36b2f.jpg,4.8,,True,False,False,0,False,False,False,,False
2840,Máy trộn nhào bột và ủ bột tự động Bear HMJ-A50B1 - HÀNG CHÍNH HÃNG,1700000,https://tiki.vn/may-tron-nhao-bot-va-u-bot-tu-dong-bear-hmj-a50b1-hang-chinh-hang-p45596960.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.70938089&itm_medium=CPC&itm_source=tiki-reco&spid=70938089,https://salt.tikicdn.com/cache/200x200/ts/product/5c/75/45/5d0f12990e2e518c8ff3091478285d21.jpg,4.6000000000000005,134,True,False,True,0,False,False,False,,False
2841,Nồi Chiên Không Dầu Perfect PF-D92 - Hàng Chính Hãng,1381200,https://tiki.vn/noi-chien-khong-dau-perfect-pf-d92-hang-chinh-hang-p67344085.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.67344086&itm_medium=CPC&itm_source=tiki-reco&spid=67344086,https://salt.tikicdn.com/cache/200x200/ts/product/0e/91/72/ead811f56ab1bb3d16487f91c494dd6e.jpg,4.5,100,True,False,False,14,False,False,False,,False
2842,Quạt đứng Asia D18004-XV1 - Hàng Chính Hãng,619000,https://tiki.vn/quat-dung-asia-d18004-xv1-p121268644.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_category-listing-tikinow-v1_202201100600_MD_PID.121268647&itm_medium=CPC&itm_source=tiki-reco&spid=121268647,https://salt.tikicdn.com/cache/200x200/ts/product/e3/c8/ff/b9fb7de079fd79181c1316545554c8fc.jpg,5.0,,True,True,True,9,False,False,False,,False
